AM_STRT_NAME,AM_DRNR,COL_DES,COLO_ZIPCODE,CIUDAD,ESTADO,COD_PAIS,DELMUN,state,county,city,district,street,houseNumber,postalCode,reference,lat,lng,score,prev_score,PP_calle,PP_numero,PP_cp,PP_latitud,PP_longitud,PP_ciudad,PP_colonia,PP_neighborhood,PP_state,PP_estado,PP_country_code,PP_cp_num,PP_diferencia,PP_alcaldia,PP_method
PRIVADA CAMINO AL SABINO,120,SIMBOLOS PATRIOS,71233.0,SIMBOLOS PATRIOS,OAXACA,MEXICO,SANTA CRUZ XOXOCOTLAN,Oaxaca,Santa Cruz Xoxocotlán,Santa Cruz Xoxocotlán,Simbolos Patrios,Privada Camino al Sabino,120,71233.0,,17.03619,-96.71811,0.91,0.8,Camino Al Sabino,0.0,71233,17.0352689,-96.718093,Santa Cruz Xoxocotlán,None,None,Oax.,Oaxaca,MX,71233.0,120.0,,FUZZ
CALLE CAMINO REAL AL AJUSCO,599,SANTA MARIA TEPEPAN,16020.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,XOCHIMILCO,Ciudad de México,Xochimilco,Ciudad de México,Santa María Tepepan,Calle Camino Real al Ajusco,599,16020.0,,19.2673988,-99.1429739,1.0,1.0,CAMINO REAL AL AJUSCO,599.0,16020,19.2680778825,-99.1429053865,,santa maria tepepan,,,,,16020.0,0.0,xochimilco,FUZZ
BARRIO DEL HUESO,40,DEL HUESO,39360.0,ACAPULCO,GUERRERO,MEXICO,ACAPULCO DE JUAREZ,Guerrero,Acapulco de Juárez,Acapulco,Del Hueso,Barrio Del Hueso,40,39360.0,,16.8536892,-99.9098424,0.3,1.0,Cerrada de Puente Alto,522.0,39360,16.8560764,-99.9045323,Acapulco de Juárez,Barrios Historicos,None,Gro.,Guerrero,MX,39360.0,482.0,,FUZZ
JUAN ELISEO ,12490,INDUSTRIAL PACIFICO I,22643.0,TIJUANA,BAJA CALIFORNIA,MEXICO,TIJUANA,Baja California,Tijuana,Tijuana,Industrial Pacífico I,Juan Eliseo,12490,22643.0,,32.4725203,-116.9926004,0.3,0.3,Av Juan Alessio,0.0,22643,32.4593898,-116.9891004,Tijuana,None,None,B.C.,Baja California,MX,22643.0,12490.0,,FUZZ
CALLE CIMA DE LOS OLIVARES 3445,SN,ALTURAS DEL SUR,80295.0,CULIACAN,SINALOA,MEXICO,CULIACAN,Sinaloa,Culiacán,Culiacán,Alturas del Sur,Calle Cima de Los Olivares,3445 SN,80295.0,,24.76016,-107.35775,0.99,1.0,Cima del Everest,4056.0,80295,24.7683053,-107.3534172,Culiacán Rosales,Mercado de Abastos,Alturas del Sur,Sin.,Sinaloa,MX,80295.0,611.0,,FUZZ
AV. VASCO DE QUIROGA,3900 OFI 701-B,SANTA FE CUAJIMALPA,5348.0,CIUDAD DE MEXICO,CIUDAD DE MEXICO,MEXICO,CUAJIMALPA,Ciudad de México,Cuajimalpa,Ciudad de México,Santa Fe Cuajimalpa,Avenida Vasco de Quiroga,3900,5348.0,Oficina 701-B,19.36101,-99.27869,0.95,0.95,AVENIDA VASCO DE QUIROGA,3900.0,5348,19.3609425414,-99.2788001535,,santa fe cuajimalpa,,,,,5348.0,0.0,cuajimalpa,EXACT
AV. UNIVERSIDAD,1800,EL PASEO,78320.0,SAN LUIS POTOSI,SAN LUIS POTOSI,MEXICO,SAN LUIS POTOSI,San Luis Potosí,San Luis Potosí,San Luis Potosí,El Paseo,Avenida Universidad,1800,78320.0,,22.15123,-100.96042,1.0,1.0,Avenida Universidad,1800.0,78320,22.1509785,-100.9604345,San Luis Potosí,El Paseo,None,S.L.P.,San Luis Potosí,MX,78320.0,0.0,,EXACT
JOSE DE LOS REYES MARTÍNEZ,10,SAN FRANCISCO CHILPAN,54944.0,TULTITLAN,ESTADO DE MEXICO,MEXICO,TULTITLAN,México,Tultitlán,Tultitlán,San Francisco Chilpan,Jose De Los Reyes Martínez,10,54944.0,,19.6144606,-99.1760444,0.5,0.5,José de Los Reyes,10.0,54944,19.6142584,-99.1761696,Buenavista,San Francisco Chilpan,None,Méx.,Estado de México,MX,54944.0,0.0,,FUZZ
CIRCUITO INTERIOR,2026,PARQUE INDUSTRIAL,85065.0,CIUDAD OBREGON,SONORA,MEXICO,CAJEME,Sonora,Cajeme,Ciudad Obregón,Parque Industrial,Circuito Interior,2026,85065.0,,27.47883,-109.91119,1.0,0.92,Boulevard Circunvalacion,1049.0,85065,27.4713592,-109.9109954,Ciudad Obregón,Parque Industrial,None,Son.,Sonora,MX,85065.0,977.0,,FUZZ
MADRID,2,ACAPULCO DE JUAREZ CENTRO,39300.0,ACAPULCO,GUERRERO,MEXICO,ACAPULCO DE JUAREZ,Guerrero,Acapulco de Juárez,Acapulco de Juárez,Acapulco de Juárez Centro,Madrid,2,39300.0,,16.8528153,-99.905304,0.3,0.3,Parián,1.0,39300,16.8518086,-99.905819,Acapulco de Juárez,El Parazal,None,Gro.,Guerrero,MX,39300.0,1.0,,FUZZ
